,Year,Publisher,Global_Sales_Publisher
0,2010,10TACLE Studios,0.02
1,2010,505 Games,7.4899999999999975
2,2010,Acquire,0.05
3,2010,Activision,17.400000000000006
4,2010,Activision Value,0.25
5,2010,Alchemist,1.24
6,2010,Aqua Plus,0.11
7,2010,Aria,0.07
8,2010,Asmik Ace Entertainment,0.04
9,2010,Atari,4.329999999999998
10,2010,Atlus,0.05
11,2010,Banpresto,0.6100000000000001
12,2010,Bethesda Softworks,0.1
13,2010,Broccoli,0.03
14,2010,Capcom,11.4
15,2010,ChunSoft,0.03
16,2010,Codemasters,0.23
17,2010,Crave Entertainment,0.30000000000000004
18,2010,D3Publisher,1.3700000000000003
19,2010,DSI Games,0.04
20,2010,Daito,0.22999999999999998
21,2010,Deep Silver,0.35
22,2010,"Destination Software, Inc",0.060000000000000005
23,2010,Disney Interactive Studios,5.739999999999999
24,2010,DreamCatcher Interactive,0.09
25,2010,Edia,0.07
26,2010,Eidos Interactive,4.379999999999996
27,2010,Electronic Arts,58.410000000000025
28,2010,Empire Interactive,0.26
29,2010,Enterbrain,0.16
30,2010,Essential Games,0.06
31,2010,Focus Home Interactive,0.03
32,2010,From Software,0.05
33,2010,Funsta,0.02
34,2010,GN Software,0.01
35,2010,Game Factory,0.24
36,2010,Ghostlight,0.21
37,2010,Global A Entertainment,0.03
38,2010,Global Star,0.09000000000000001
39,2010,Groove Games,0.03
40,2010,Hamster Corporation,0.02
41,2010,Hasbro Interactive,0.02
42,2010,Hudson Entertainment,0.02
43,2010,Hudson Soft,0.23
44,2010,IE Institute,0.73
45,2010,Idea Factory,0.16999999999999998
46,2010,Ignition Entertainment,0.81
47,2010,Interchannel,0.08
48,2010,Irem Software Engineering,0.06
49,2010,JoWood Productions,0.06
50,2010,KID,0.05
51,2010,Kadokawa Shoten,0.02
52,2010,Kando Games,0.03
53,2010,Konami Digital Entertainment,14.599999999999996
54,2010,Liquid Games,0.01
55,2010,LucasArts,7.439999999999999
56,2010,MTO,0.16
57,2010,Mad Catz,0.03
58,2010,Majesco Entertainment,0.3700000000000001
59,2010,Marvelous Interactive,0.07
60,2010,Mastertronic,0.02
61,2010,Media Works,0.03
62,2010,Michaelsoft,0.01
63,2010,Microsoft Game Studios,9.98
64,2010,Midas Interactive Entertainment,0.03
65,2010,Midway Games,5.499999999999997
66,2010,Mumbo Jumbo,0.02
67,2010,Myelin Media,0.13
68,2010,NCSoft,0.05
69,2010,Namco Bandai Games,11.699999999999998
70,2010,Natsume,0.09000000000000001
71,2010,Nintendo,205.60999999999999
72,2010,O3 Entertainment,0.02
73,2010,Ongakukan,0.01
74,2010,Oxygen Interactive,1.8
75,2010,PopCap Games,0.01
76,2010,Princess Soft,0.03
77,2010,RedOctane,5.12
78,2010,Rising Star Games,1.4600000000000002
79,2010,Rocket Company,0.6900000000000001
80,2010,SNK Playmore,0.02
81,2010,Sammy Corporation,0.08
82,2010,Sega,15.809999999999997
83,2010,Shogakukan,0.2
84,2010,Sony Computer Entertainment,33.81
85,2010,Sony Online Entertainment,0.16
86,2010,SouthPeak Games,0.14
87,2010,Spike,1.1400000000000001
88,2010,Square Enix,13.429999999999998
89,2010,Sting,0.03
90,2010,Success,0.03
91,2010,Sunrise Interactive,0.02
92,2010,Sweets,0.02
93,2010,System 3 Arcade Software,0.2
94,2010,TDK Core,0.22
95,2010,THQ,24.939999999999998
96,2010,Taito,0.06
97,2010,Takara Tomy,0.34
98,2010,Take-Two Interactive,20.59
99,2010,Tecmo Koei,3.6299999999999986
100,2010,Tomy Corporation,0.02
101,2010,Ubisoft,17.269999999999992
102,2010,Unknown,0.12000000000000001
103,2010,Valcon Games,0.03
104,2010,Vivendi Games,4.579999999999999
105,2010,Warner Bros. Interactive Entertainment,0.29
106,2010,Xplosiv,0.4
107,2010,Yamasa Entertainment,0.04
108,2010,Yeti,0.01
109,2010,Yuke's,0.03
110,2010,Zenrin,0.04
111,2010,Zoo Digital Publishing,0.37
112,2011,10TACLE Studios,0.09
113,2011,1990,1.21
114,2011,505 Games,10.430000000000003
115,2011,AQ Interactive,0.16
116,2011,Activision,63.57
117,2011,Activision Value,0.5800000000000001
118,2011,Alchemist,0.19
119,2011,Aqua Plus,0.01
120,2011,Aspyr,0.01
121,2011,Atari,11.369999999999997
122,2011,Atlus,0.1
123,2011,Avanquest,0.53
124,2011,Banpresto,1.5900000000000003
125,2011,Benesse,0.19
126,2011,Bethesda Softworks,1.03
127,2011,Black Bean Games,0.11000000000000001
128,2011,Blast! Entertainment Ltd,0.17
129,2011,Brash Entertainment,0.21000000000000002
130,2011,Broccoli,0.07
131,2011,Capcom,9.919999999999998
132,2011,Codemasters,3.07
133,2011,CokeM Interactive,0.31
134,2011,Conspiracy Entertainment,0.07
135,2011,Crave Entertainment,0.42999999999999994
136,2011,CyberFront,0.02
137,2011,D3Publisher,6.309999999999997
138,2011,DHM Interactive,0.13999999999999999
139,2011,DSI Games,0.05
